Tweets Ago,compound,date,neg,neu,pos,time,user
46,0.3182,2018-03-03,0.0,0.901,0.099,Sat Mar 03 07:00:31 +0000 2018,@CNN
47,0.6597,2018-03-03,0.0,0.779,0.221,Sat Mar 03 06:33:36 +0000 2018,@CNN
48,-0.296,2018-03-03,0.099,0.901,0.0,Sat Mar 03 06:19:49 +0000 2018,@CNN
49,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 06:00:13 +0000 2018,@CNN
50,-0.25,2018-03-03,0.216,0.568,0.216,Sat Mar 03 05:30:05 +0000 2018,@CNN
51,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 04:59:07 +0000 2018,@CNN
52,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 04:28:06 +0000 2018,@CNN
53,0.3832,2018-03-03,0.134,0.645,0.221,Sat Mar 03 04:00:22 +0000 2018,@CNN
54,-0.4404,2018-03-03,0.153,0.847,0.0,Sat Mar 03 03:29:03 +0000 2018,@CNN
55,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 03:00:07 +0000 2018,@CNN
56,0.4019,2018-03-03,0.0,0.787,0.213,Sat Mar 03 02:32:06 +0000 2018,@CNN
57,-0.2263,2018-03-03,0.106,0.894,0.0,Sat Mar 03 02:07:03 +0000 2018,@CNN
58,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 01:55:55 +0000 2018,@CNN
59,0.6826,2018-03-03,0.08,0.653,0.268,Sat Mar 03 01:44:32 +0000 2018,@CNN
60,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 01:32:17 +0000 2018,@CNN
61,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 01:21:03 +0000 2018,@CNN
62,0.2732,2018-03-03,0.0,0.826,0.174,Sat Mar 03 01:10:22 +0000 2018,@CNN
63,0.6808,2018-03-03,0.0,0.728,0.272,Sat Mar 03 00:59:35 +0000 2018,@CNN
64,-0.296,2018-03-03,0.155,0.845,0.0,Sat Mar 03 00:49:04 +0000 2018,@CNN
65,0.2263,2018-03-03,0.122,0.711,0.168,Sat Mar 03 00:38:24 +0000 2018,@CNN
66,-0.1779,2018-03-03,0.185,0.667,0.149,Sat Mar 03 00:23:55 +0000 2018,@CNN
67,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 00:08:58 +0000 2018,@CNN
68,0.4019,2018-03-02,0.0,0.886,0.114,Fri Mar 02 23:54:29 +0000 2018,@CNN
69,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 23:44:13 +0000 2018,@CNN
70,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 23:31:17 +0000 2018,@CNN
71,0.1027,2018-03-02,0.0,0.915,0.085,Fri Mar 02 23:18:17 +0000 2018,@CNN
72,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 23:04:41 +0000 2018,@CNN
73,-0.296,2018-03-02,0.109,0.891,0.0,Fri Mar 02 22:49:51 +0000 2018,@CNN
74,-0.5574,2018-03-02,0.295,0.705,0.0,Fri Mar 02 22:36:12 +0000 2018,@CNN
75,-0.2023,2018-03-02,0.197,0.684,0.12,Fri Mar 02 22:22:37 +0000 2018,@CNN
76,0.4019,2018-03-02,0.0,0.863,0.137,Fri Mar 02 22:06:46 +0000 2018,@CNN
77,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 21:50:36 +0000 2018,@CNN
78,-0.4767,2018-03-02,0.181,0.819,0.0,Fri Mar 02 21:35:40 +0000 2018,@CNN
79,0.0,2018-03-02,0.0,1.0,0.0,Fri Mar 02 21:28:53 +0000 2018,@CNN
80,-0.5719,2018-03-02,0.163,0.837,0.0,Fri Mar 02 21:20:39 +0000 2018,@CNN
81,-0.25,2018-03-02,0.201,0.684,0.115,Fri Mar 02 21:16:24 +0000 2018,@CNN
